EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
363805,0.11010324918891772,800,65,17,48
363806,0.18323138372100486,800,112,28,84
363807,0.22068094541219144,800,137,41,96
363808,0.14216014800736315,800,73,12,61
363809,0.2076088164305876,800,133,31,102
363810,0.8609523381841295,800,462,107,355
363811,0.6465282156836261,800,332,73,259
363813,0.34116876091617016,800,194,39,155
363819,0.6623526555536257,800,341,64,277
363820,0.860858382169395,800,511,124,387
363822,0.6513361373922447,800,417,103,314
363824,0.861373632946179,800,518,132,386
363827,0.8596884689620778,800,444,105,339
363828,0.3254949636597058,800,191,44,147
363829,0.8604542832933204,800,524,139,385
363830,0.860353287823795,800,490,137,353
363831,0.2169425186227044,800,116,21,95
363832,0.3213562541771814,800,206,53,153
363834,0.11330656630311318,800,62,16,46
363838,0.8610628864140331,800,523,128,395
363840,0.8593945517384384,800,536,154,382
363844,0.013909863545108847,800,6,1,5
363847,0.5006695911633625,800,309,87,222
363848,0.062307802407842,800,40,13,27
363851,0.8613501098574068,800,512,113,399
363854,0.10408524704246158,800,53,12,41
363855,0.003555521231528047,800,4,2,2
363859,0.4459732262606494,800,295,75,220
364352,0.8603513673942255,800,499,124,375
364353,0.8610150647606708,800,510,123,387
364354,0.3867204262652992,800,223,51,172
364358,0.6118782134501334,800,378,88,290
364359,0.240569300602729,800,123,23,100
364360,0.8603643018445825,800,545,139,406
364361,0.1545949465378478,800,89,24,65
364364,0.5030498482304179,800,297,61,236
364365,0.3737149077986752,800,217,58,159
364366,0.3333777786578583,800,212,49,163
364368,0.07906249456159427,800,52,13,39
364369,0.8611265092266716,800,509,118,391
364372,0.8604277373517515,800,505,107,398
364375,0.6048139610280558,800,423,104,319
364377,0.4886531070035628,800,312,76,236
364378,0.109016866182479,800,67,20,47
364380,0.5956960053372963,800,381,101,280
364381,0.8607629872816696,800,540,152,388
364382,0.8606253959893544,800,525,125,400
364383,0.12753533606534753,800,81,21,60
364384,0.8609135489897136,800,520,134,386
364385,0.8612156350205791,800,490,107,383
364386,0.21324945665867853,800,147,47,100
364387,0.08559177889303782,800,60,18,42
364388,0.003918248385139186,800,4,0,4
364389,0.32182086365254153,800,189,51,138
364392,0.8602988782324154,800,509,124,385
364399,0.8609161885226975,800,485,114,371
364401,0.3756264840851015,800,199,41,158
364405,0.5900916458505623,800,392,105,287
364410,0.18045445614947855,800,114,27,87
364414,0.3523345408232395,800,171,37,134
364415,0.8601232268017505,800,531,151,380
364416,0.2673642588109145,800,162,49,113
364418,0.8602970017043842,800,503,118,385
364980,0.8611785377041283,800,506,116,390
364981,0.8609763695204629,800,579,163,416
364985,0.8601975878955416,800,449,111,338
364986,0.860563652722168,800,462,110,352
364987,0.8616376006577224,800,452,82,370
364988,0.8604753916872392,800,510,141,369
364989,0.008584522734684756,800,6,4,2
364991,0.35536677109292336,800,222,65,157
364992,0.8606314353391203,800,521,119,402
364996,0.10966503180441595,800,74,20,54
364999,0.45977435047084403,800,288,70,218
365000,0.6328959865038113,800,345,77,268
365005,0.860593291621496,800,497,122,375
365007,0.2069076975706486,800,148,43,105
365015,0.8607497800689912,800,461,91,370
365018,0.860965164586136,800,520,145,375
365020,0.16840973158155517,800,110,21,89
365021,0.8606416839215065,800,502,121,381
365022,0.685499328722039,800,355,80,275
365023,0.8601526144846675,800,471,119,352
365026,0.861688412701081,800,477,98,379
365030,0.8616012779242974,800,510,129,381
365033,0.4017979549439373,800,242,65,177
365034,0.2363016301566808,800,137,38,99
365037,0.4596596304770884,800,259,66,193
365041,0.8604922978543977,800,505,135,370
365043,0.8602800300174407,800,469,104,365
365048,0.8603502440491082,800,491,115,376
365049,0.8606403285189183,800,518,124,394
365750,0.8611704426246108,800,519,130,389
365754,0.8607100242764947,800,518,135,383
365756,0.047363804089589595,800,31,6,25
365760,0.8604734827791596,800,433,93,340
365761,0.2293598726945667,800,133,33,100
365763,0.5286539519934923,800,312,68,244
365764,0.8613032108902026,800,486,121,365
365768,0.8610271147288934,800,537,137,400
365772,0.16468154459552997,800,89,15,74
365773,0.4417050645331202,800,266,59,207
365776,0.86068071731195,800,501,119,382
365777,0.24485630275310377,800,130,32,98
365780,0.09472652863207698,800,59,16,43
365784,0.8603358790901796,800,489,104,385
365785,0.8605811839229717,800,531,117,414
